,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,4.7,16.3,,995.9,32.0,90.0,0.0,3.8,93.73,0.8346111111111111
1,ABRTW-1,8.8,11.1,6.0,1013.5,22.4,84.7,0.0,4.5,74.55,0.2982222222222222
2,ACHRW-1,3.7,19.5,19.4,992.9,11.7,56.7,0.0,2.8,94.1,0.9262910798122066
3,ACHRW-1,8.6,12.5,14.7,1011.8,24.8,69.2,0.0,5.2,79.45,0.32262910798122063
4,AKGLW-2,3.9,4.0,,998.7,22.0,95.0,0.0,3.2,95.38,0.0007832080200501253
5,AKGLW-2,9.7,11.9,28.9,1014.4,30.6,77.5,0.0,2.7,61.52,0.3682644110275689
6,ANSUW-1,3.3,14.7,2.9,995.3,24.9,44.3,0.0,2.1,92.14,0.9119834710743802
7,ANSUW-1,7.9,10.7,12.1,1012.7,35.2,52.7,0.0,3.5,73.92,0.29390495867768596
8,ARCHW-1,8.7,15.1,11.5,1013.0,14.2,86.7,0.0,6.4,85.23,0.5696666666666667
9,BEINW-1,2.1,15.2,57.5,995.4,34.3,46.7,0.0,0.5,89.15,0.5258455882352941
10,BEINW-1,6.5,10.0,23.2,1011.6,31.1,64.7,0.0,2.2,73.64,0.586875
11,BETHW-1,6.2,14.3,,996.2,29.9,77.8,0.0,4.4,88.6,0.3066218487394958
12,BETHW-1,9.2,8.4,,1010.7,26.9,51.0,0.0,2.9,64.73,0.24813445378151258
13,BHLAW-1,6.1,12.3,49.4,1011.4,30.4,62.2,0.0,1.7,73.42,0.32751851851851854
14,BLKWW-1,5.2,21.4,,995.6,18.6,86.1,0.0,3.5,88.84,0.4137996219281664
15,BLKWW-1,8.7,15.8,,1013.8,22.4,86.5,0.0,4.7,76.08,0.7318336483931946
16,BLLA-1,4.4,14.4,,996.4,31.0,90.0,0.0,2.8,89.52,0.0105625
17,BLLA-1,8.7,14.7,,1013.6,23.1,87.6,0.0,3.4,69.1,0.6114166666666666
18,BLLA-2,8.7,14.7,,1013.6,23.1,87.6,0.0,3.4,69.1,0.471159420289855
19,BNWKW-1,7.9,22.6,,998.6,11.3,89.3,0.0,4.7,79.92,0.6206222222222222
20,BNWKW-1,9.1,12.8,4.9,1010.9,22.6,50.7,0.0,3.3,67.08,0.14506666666666665
21,BRYBW-1,5.8,11.2,57.5,996.8,34.7,75.8,0.0,4.0,88.14,0.6998500749625187
22,BRYBW-1,8.8,10.5,49.4,1011.2,25.5,20.1,0.0,2.6,65.04,0.37847076461769114
23,BTUIW-2,8.8,19.8,23.6,1011.2,16.6,96.9,0.0,6.0,82.89,0.43816933638443933
24,CGTHW-1,3.5,9.7,57.5,995.9,38.6,69.3,0.0,2.2,91.4,0.0026376811594202897
25,CGTHW-1,6.6,13.0,49.4,1011.3,30.8,62.9,0.0,1.4,69.45,0.45655072463768115
26,CLDCW-1,4.4,14.9,,996.6,30.1,90.1,0.0,2.7,88.93,0.0006607142857142856
27,CLDCW-1,8.6,15.4,,1013.9,22.8,88.7,0.0,3.2,68.93,1.0155357142857142
28,CLDNW-1,4.4,14.9,,996.6,30.1,90.1,0.0,2.7,88.93,0.0006111111111111111
29,CLDNW-1,8.6,15.4,,1013.9,22.8,88.7,0.0,3.2,68.93,1.176111111111111
