,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,1.0,9.2,8.1,999.3,3.6,84.6,0.0,0.4,95.47,0.2187777777777778
1,ABRTW-1,12.2,5.7,6.0,1003.8,9.8,85.7,0.0,11.0,92.59,0.02722222222222222
2,ABRTW-1,3.1,4.1,0.9,1026.9,16.8,27.0,0.0,1.6,89.72,0.21344444444444444
3,ABRTW-1,6.0,12.5,18.1,1010.9,11.2,75.3,0.0,2.9,80.67,0.39405555555555555
4,ABRTW-1,6.7,6.4,,997.1,9.9,90.7,0.0,7.4,100.0,0.06622222222222222
5,ABRTW-1,3.3,9.4,13.6,1012.4,16.2,25.5,0.0,0.7,83.18,0.3987222222222222
6,ABRTW-1,6.2,11.5,31.1,1025.8,36.7,50.1,0.0,-1.7,57.32,0.06894444444444445
7,ABRTW-1,15.6,9.2,,1017.5,6.3,60.0,0.0,15.1,96.68,0.14544444444444443
8,ABRTW-1,12.6,6.5,,1013.4,20.9,96.4,0.0,11.9,95.6,0.035777777777777776
9,ABRTW-1,3.6,8.8,,1003.0,26.9,67.5,0.0,2.6,92.89,0.5093333333333333
10,ABRTW-1,2.4,5.3,6.0,1025.7,13.1,31.3,0.0,0.8,89.07,0.28927777777777774
11,ABRTW-1,11.7,4.2,,1010.7,20.0,84.3,0.0,11.1,95.73,0.0016666666666666666
12,ABRTW-1,3.7,17.8,23.1,1008.9,22.2,14.9,0.0,0.6,80.64,0.5283888888888888
13,ABRTW-1,10.4,6.0,,1015.5,19.9,72.6,0.0,9.4,93.43,0.035944444444444446
14,ABRTW-1,3.8,7.1,6.0,999.1,29.0,61.3,0.0,2.4,90.58,0.20494444444444446
15,ABRTW-1,6.5,14.1,14.6,996.1,25.8,64.0,0.0,4.2,85.47,0.918
16,ACHRW-1,0.6,16.1,18.1,997.9,5.8,44.1,0.0,-0.1,95.05,0.27732394366197183
17,ACHRW-1,10.3,5.9,4.9,1004.2,7.3,47.2,0.0,9.2,92.75,0.02352112676056338
18,ACHRW-1,6.9,3.3,0.0,1015.5,24.7,9.4,0.0,6.1,94.66,0.009061032863849764
