,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,12.8,21.8,32.3,1016.5,8.4,89.5,0.0,11.6,92.28,0.9869999999999999
1,ACHRW-1,11.3,20.0,25.5,1014.4,4.4,54.9,0.0,10.4,94.09,0.9053521126760563
2,AKGLW-2,14.0,18.8,31.1,1017.8,26.2,66.2,0.0,10.0,77.05,0.0016604010025062655
3,ANSUW-1,11.0,20.5,25.9,1015.1,4.4,42.7,0.0,9.6,91.02,0.7958677685950413
4,ARCHW-1,13.5,23.5,26.9,1016.2,9.5,96.0,0.0,12.3,92.05,0.0016166666666666666
5,BEINW-1,9.9,24.0,69.1,1012.7,15.2,45.7,0.0,7.8,87.25,0.4122426470588235
6,BETHW-1,14.9,17.4,28.4,1011.5,18.3,77.0,0.0,8.4,65.14,0.7982521008403362
7,BLKWW-1,12.6,22.8,32.2,1017.4,12.5,89.7,0.0,11.1,90.48,0.9133459357277883
8,BNWKW-1,14.1,20.6,25.9,1012.5,13.4,86.3,0.0,9.6,74.58,0.6203555555555555
9,BRYBW-1,14.8,19.1,34.8,1012.7,18.3,52.5,0.0,7.8,63.13,0.9405097451274362
10,BTUIW-2,13.9,22.3,29.0,1013.7,9.0,81.4,0.0,12.4,90.58,0.6219221967963386
11,CGTHW-1,12.0,20.0,57.2,1012.8,16.8,67.2,0.0,7.8,75.74,0.001565217391304348
12,CLDCW-1,11.7,21.0,31.4,1017.3,8.5,87.3,0.0,9.9,88.74,1.4583928571428573
13,CLDNW-1,11.7,21.0,31.4,1017.3,8.5,87.3,0.0,9.9,88.74,0.010574074074074073
14,CLDSW-1,11.7,21.0,31.4,1017.3,8.5,87.3,0.0,9.9,88.74,0.86015625
15,CLFLW-1,10.8,19.5,15.3,1015.0,4.6,36.3,0.0,9.4,90.89,0.23986206896551726
16,COUWW-1,13.9,22.4,29.2,1013.7,9.0,81.4,0.0,12.4,90.58,0.9777560975609756
17,CRGHW-1,11.3,20.2,25.9,1014.7,5.8,36.2,0.0,9.5,89.05,0.7639130434782608
18,CRMLW-1,14.1,18.3,29.2,1010.5,24.3,79.4,0.0,8.2,67.34,0.8457684210526316
19,CRYRW-2,13.9,18.9,31.1,1017.9,26.5,66.0,0.0,10.0,77.3,0.9432753623188406
20,DALSW-1,12.5,18.9,30.1,1018.2,12.2,85.6,0.0,10.5,87.65,0.5632
21,DRSLW-1,13.0,22.8,33.3,1016.0,20.2,90.4,0.0,11.3,89.09,8.695652173913044e-05
22,EDINW-1,12.3,30.7,41.6,1007.3,9.5,42.1,0.0,9.5,82.97,0.23666666666666666
23,EWHLW-1,12.9,15.5,29.8,1019.1,15.3,83.6,0.0,10.2,83.81,0.00048648648648648646
24,FSDLW-1,13.4,17.3,28.0,1014.0,11.0,84.0,0.0,11.8,90.23,0.9910810810810811
25,GDSTW-1,14.2,13.0,18.9,1015.5,15.7,58.9,0.0,9.8,74.87,0.5278461538461539
26,GLOFW-1,13.8,20.0,35.4,1015.1,16.4,55.5,0.0,8.6,70.92,0.8044943820224719
27,GRIFW-2,11.9,23.3,29.5,1014.9,18.5,50.6,0.0,9.0,82.35,3.9215686274509805e-05
28,HBHDW-1,13.0,19.1,31.2,1016.4,18.7,88.5,0.0,9.8,80.99,0.7375628626692455
29,HLGLW-1,15.6,17.5,32.2,1012.6,18.5,55.6,0.0,8.0,60.56,0.8789999999999999
30,HRSTW-1,11.9,18.3,31.3,1018.4,9.8,84.2,0.0,10.3,89.87,0.00053125
31,KILBW-1,16.0,15.0,22.9,1011.6,17.3,64.2,0.0,9.2,63.89,0.5397894736842105
32,KLGLW-1,13.5,23.5,26.9,1016.2,9.6,95.9,0.0,12.3,92.02,0.012736842105263158
33,MILWW-1,9.7,24.2,69.1,1012.9,13.9,45.4,0.0,7.9,88.57,1.119
34,MINSW-1,12.9,15.5,29.7,1019.1,15.5,83.7,0.0,10.2,83.62,0.2838586956521739
35,MKHLW-1,13.4,23.1,29.7,1016.0,13.3,93.5,0.0,11.9,90.98,0.7819642857142857
36,TDBNW-1,13.4,18.6,31.1,1017.4,22.6,77.8,0.0,9.9,79.43,0.8152898550724637
37,TULWW-1,13.6,23.1,25.2,1016.1,10.7,59.5,0.0,10.8,82.98,0.5336470588235294
38,TULWW-2,13.6,23.1,25.2,1016.1,10.7,59.5,0.0,10.8,82.98,0.45344
39,WHIHW-1,12.2,21.0,32.4,1016.7,13.2,88.6,0.0,10.5,89.55,0.9437777777777777
40,WHILW-1,12.3,10.2,14.3,1016.0,14.3,90.0,0.0,10.2,87.02,0.0011801242236024845
41,WHILW-2,12.5,13.3,21.2,1016.1,15.4,89.6,0.0,10.6,88.03,0.6300084033613446
