,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,8.6,9.6,0.9,1031.6,23.9,52.9,0.0,1.2,59.84,0.07211111111111111
1,ABRTW-1,11.3,11.6,2.0,991.9,5.0,96.9,0.0,7.9,79.34,0.45933333333333337
2,ABRTW-1,6.1,3.3,0.9,1018.4,14.1,85.8,0.0,4.8,90.77,0.021333333333333333
3,ABRTW-1,16.1,10.2,15.6,1006.5,24.7,83.1,0.0,12.2,77.25,0.552611111111111
4,ABRTW-1,9.9,22.4,21.3,1022.2,18.1,53.0,0.0,7.7,85.81,0.6795555555555555
5,ACHRW-1,7.0,13.9,15.0,1032.0,13.6,22.2,0.0,1.0,65.89,0.4728169014084507
6,ACHRW-1,11.9,9.9,15.9,991.3,6.1,72.9,0.0,8.0,77.0,0.9307511737089201
7,ACHRW-1,6.3,3.3,0.0,1018.2,12.4,72.9,0.0,4.7,89.75,0.012018779342723005
8,ACHRW-1,19.2,7.0,8.9,1031.6,19.8,0.0,0.0,9.5,53.14,0.13976525821596242
9,ACHRW-1,14.9,4.8,2.9,1010.2,16.9,61.4,0.0,13.3,90.06,0.04516431924882629
10,ACHRW-1,14.1,17.7,25.5,1006.0,11.5,47.2,0.0,12.3,88.82,0.2267605633802817
11,ACHRW-1,-0.3,4.2,0.0,1020.6,23.4,25.3,0.0,-2.5,84.63,0.02708920187793427
12,ACHRW-1,10.1,12.4,17.0,1021.7,17.3,72.9,0.0,8.3,88.08,0.22816901408450704
13,AKGLW-2,9.5,13.7,,1031.0,27.7,30.4,0.0,-0.7,48.88,0.22431077694235588
14,AKGLW-2,9.1,12.3,,993.8,3.2,97.8,0.0,7.9,92.25,0.24094611528822055
15,AKGLW-2,16.5,5.8,,1031.8,19.9,10.2,0.0,11.0,69.8,0.0015037593984962405
16,AKGLW-2,15.8,6.5,,1008.4,22.3,90.0,0.0,14.6,92.86,0.34733709273182956
17,AKGLW-2,15.8,9.2,26.4,1007.1,19.9,75.1,0.0,13.6,86.76,0.7317982456140351
18,AKGLW-2,1.0,4.2,,1020.8,30.0,0.0,0.0,-0.9,87.21,0.0775062656641604
19,AKGLW-2,9.6,28.0,32.2,1023.0,27.2,71.1,0.0,7.2,84.8,0.8385025062656641
20,ANSUW-1,5.9,13.3,8.9,1031.1,17.2,32.9,0.0,0.0,65.67,0.3771694214876033
21,ANSUW-1,11.5,9.7,12.1,993.3,7.9,54.8,0.0,7.3,75.37,0.5619834710743802
22,ANSUW-1,6.0,3.9,0.0,1018.2,10.6,59.0,0.0,4.7,91.22,0.01756198347107438
23,ANSUW-1,18.9,5.4,6.9,1031.0,15.6,0.0,0.0,7.1,46.15,0.046280991735537194
24,ANSUW-1,14.2,3.5,0.9,1010.3,13.2,47.6,0.0,8.3,67.72,0.006921487603305786
25,ANSUW-1,14.5,13.8,6.9,1005.2,20.7,32.9,0.0,12.3,86.54,0.19369834710743802
26,ANSUW-1,-1.0,4.0,2.0,1021.5,21.7,1.7,0.0,-3.1,86.11,0.019421487603305785
27,ANSUW-1,9.5,14.5,12.1,1021.2,18.3,59.0,0.0,7.9,89.53,0.7163223140495868
28,ARCHW-1,9.0,9.9,10.9,1033.2,17.5,4.7,0.0,2.6,64.57,0.09785
29,ARCHW-1,14.5,13.4,13.9,989.1,7.0,90.8,0.0,9.7,72.81,0.3154833333333333
30,ARCHW-1,6.9,4.7,0.0,1018.7,11.1,84.9,0.0,5.7,91.69,0.005633333333333334
31,ARCHW-1,18.5,12.5,8.9,1031.0,18.6,6.7,0.0,12.5,68.15,0.17873333333333333
32,ARCHW-1,16.5,8.1,4.5,1009.5,9.2,80.1,0.0,14.6,88.34,0.0282
33,ARCHW-1,15.1,16.8,24.8,1007.0,28.2,82.6,0.0,12.7,85.41,0.34343333333333337
34,ARCHW-1,10.4,18.7,27.9,1024.3,9.3,79.9,0.0,8.5,87.89,0.724
35,BEINW-1,3.2,20.4,58.8,1029.4,19.8,31.9,0.0,-1.6,70.52,0.5279227941176471
36,BEINW-1,11.3,13.0,28.3,995.3,10.0,61.9,0.0,6.0,69.6,0.32573529411764707
37,BEINW-1,4.5,2.5,2.0,1018.5,10.4,67.4,0.0,3.9,95.66,0.047297794117647056
38,BEINW-1,15.3,9.7,,1031.5,21.8,11.4,0.0,5.9,53.34,0.023125
39,BEINW-1,12.6,13.0,54.1,1004.2,26.8,45.7,0.0,10.6,87.57,0.09650735294117647
40,BEINW-1,9.2,21.7,42.9,1017.6,23.3,72.0,0.0,6.8,85.09,0.7913970588235294
41,BETHW-1,6.0,5.6,,1017.3,14.5,65.5,0.0,4.0,87.02,0.00826890756302521
42,BETHW-1,16.4,19.0,,1032.1,21.5,25.9,0.0,10.3,67.2,0.328672268907563
43,BETHW-1,16.3,6.1,,1003.6,27.5,67.5,0.0,12.8,79.97,0.7442016806722689
44,BETHW-1,11.3,21.9,36.4,1014.4,15.2,71.2,0.0,7.8,79.42,0.6243361344537816
45,BHLAW-1,5.2,18.6,58.8,1028.9,20.2,37.1,0.0,-1.1,63.68,0.6891851851851852
46,BHLAW-1,10.3,16.2,54.1,995.8,8.7,64.4,0.0,5.8,73.61,0.3804074074074074
47,BHLAW-1,4.4,3.3,,1018.2,10.8,62.1,0.0,3.6,94.68,0.002759259259259259
48,BHLAW-1,14.1,10.6,54.1,1004.0,27.8,59.9,0.0,11.5,84.46,0.24101851851851852
49,BHLAW-1,8.8,25.0,92.2,1016.8,20.2,69.7,0.0,6.4,84.94,0.9848333333333333
50,BLKWW-1,8.1,13.4,,1032.6,21.0,29.5,0.0,2.4,67.26,0.20257088846880908
51,BLKWW-1,13.0,18.6,,990.2,5.7,81.1,0.0,9.2,77.41,0.7207183364839319
52,BLKWW-1,15.1,19.3,31.6,1007.3,20.9,88.9,0.0,12.2,82.98,0.7322873345935728
53,BLKWW-1,8.8,25.2,39.7,1024.9,9.6,70.5,0.0,7.7,92.98,0.9896030245746692
54,BLLA-1,8.3,14.7,,1031.4,23.2,57.4,0.0,1.5,62.58,0.2528125
55,BLLA-1,11.2,16.1,,992.5,4.7,97.3,0.0,8.5,83.28,0.5400208333333333
56,BLLA-1,16.0,13.1,31.6,1006.5,21.5,71.4,0.0,12.2,78.13,0.35760416666666667
57,BLLA-1,9.4,29.1,34.0,1022.2,19.3,52.7,0.0,7.3,86.68,0.10629166666666667
58,BLLA-2,8.3,14.7,,1031.4,23.2,57.4,0.0,1.5,62.58,0.1903768115942029
59,BLLA-2,11.2,16.1,,992.5,4.7,97.3,0.0,8.5,83.28,0.5759710144927536
60,BLLA-2,6.0,4.5,,1018.3,15.4,75.1,0.0,4.7,91.7,0.0034492753623188406
61,BLLA-2,16.0,13.1,31.6,1006.5,21.5,71.4,0.0,12.2,78.13,0.6483188405797101
62,BLLA-2,9.4,29.1,34.0,1022.2,19.3,52.7,0.0,7.3,86.68,0.8572173913043478
63,BNWKW-1,7.6,25.6,25.9,1025.4,21.5,76.7,0.0,0.8,62.31,0.6387555555555555
64,BNWKW-1,9.2,17.4,,999.6,3.7,99.7,0.0,7.3,88.11,0.43937777777777776
65,BNWKW-1,7.6,8.9,13.0,1015.8,18.5,97.5,0.0,6.7,93.72,0.1965333333333333
66,BNWKW-1,14.1,22.6,23.9,1031.0,16.7,94.0,0.0,9.9,75.83,0.6067555555555555
67,BNWKW-1,17.7,12.8,19.0,1010.6,7.3,3.1,0.0,15.2,85.45,0.05653333333333333
68,BNWKW-1,16.0,8.3,13.0,1003.5,17.9,97.1,0.0,13.6,85.75,0.30479999999999996
69,BNWKW-1,2.0,7.6,0.0,1019.6,25.6,81.3,0.0,-0.3,84.67,0.12604444444444443
70,BNWKW-1,10.8,19.4,25.9,1014.1,12.0,89.4,0.0,7.2,78.89,0.6201777777777778
71,BRYBW-1,8.3,20.4,39.4,1027.8,22.6,31.6,0.0,-1.4,50.55,0.7145127436281858
72,BRYBW-1,10.5,17.1,54.1,997.1,6.0,80.4,0.0,7.1,79.9,0.16233883058470763
