    ,BMUID   ,temp ,wspd ,wgust ,sealevelpressure ,visibility ,cloudcover ,precip ,dew   ,humidity ,loadFactor
285 ,HLGLW-1 ,16.5 ,18.5 ,33.0  ,1003.0           ,25.0       ,75.2       ,0.0    ,9.6   ,63.96    ,0.34214285714285714
286 ,HLGLW-1 ,13.8 ,15.3 ,45.0  ,1019.1           ,22.9       ,58.3       ,0.0    ,8.0   ,67.91    ,0.28657142857142853
287 ,HLGLW-1 ,5.2  ,4.0  ,      ,1005.1           ,13.2       ,85.9       ,0.0    ,4.8   ,96.83    ,0.2372857142857143
288 ,HRSTW-1 ,2.1  ,9.2  ,      ,1010.2           ,20.7       ,88.3       ,0.0    ,-2.4  ,72.01    ,0.051484375
289 ,HRSTW-1 ,5.7  ,10.0 ,      ,980.7            ,24.9       ,77.7       ,0.0    ,4.6   ,92.78    ,0.715859375
290 ,HRSTW-1 ,8.3  ,12.9 ,      ,1031.7           ,15.0       ,87.4       ,0.0    ,4.8   ,78.96    ,0.205125
291 ,HRSTW-1 ,9.0  ,12.6 ,27.7  ,992.2            ,2.1        ,93.2       ,0.0    ,8.2   ,94.94    ,0.164859375
292 ,HRSTW-1 ,14.3 ,17.1 ,      ,1008.6           ,25.5       ,64.3       ,0.0    ,10.6  ,78.39    ,0.3550625
293 ,HRSTW-1 ,15.1 ,8.1  ,      ,1020.9           ,27.9       ,81.6       ,0.0    ,12.7  ,85.44    ,0.44140625
294 ,HRSTW-1 ,7.3  ,13.3 ,      ,999.8            ,10.7       ,68.8       ,0.0    ,5.5   ,87.76    ,0.62078125
295 ,KILBW-1 ,2.1  ,5.2  ,2.9   ,1010.3           ,24.2       ,72.4       ,0.0    ,-1.7  ,76.26    ,0.36252631578947364
296 ,KILBW-1 ,9.2  ,10.0 ,10.1  ,997.6            ,4.5        ,99.4       ,0.0    ,7.7   ,90.79    ,1.3671999999999997
297 ,KILBW-1 ,13.5 ,7.2  ,10.1  ,1021.0           ,18.8       ,86.6       ,0.0    ,12.3  ,92.55    ,0.16614736842105263
298 ,KILBW-1 ,15.3 ,15.4 ,31.1  ,1003.0           ,19.6       ,82.3       ,0.0    ,10.5  ,73.34    ,0.2711157894736842
299 ,KILBW-1 ,14.2 ,15.4 ,21.9  ,1018.9           ,15.7       ,29.0       ,0.0    ,8.4   ,68.22    ,1.1550315789473684
300 ,KILBW-1 ,5.7  ,5.4  ,2.0   ,1005.5           ,13.3       ,62.3       ,0.0    ,5.0   ,94.75    ,0.31334736842105265
301 ,KLGLW-1 ,3.7  ,18.5 ,10.1  ,1007.8           ,7.0        ,90.7       ,0.0    ,2.2   ,90.07    ,0.9388070175438596
302 ,KLGLW-1 ,7.2  ,18.1 ,17.0  ,983.4            ,14.0       ,89.2       ,0.0    ,5.3   ,87.85    ,0.8491403508771931
303 ,KLGLW-1 ,10.0 ,11.1 ,16.5  ,1032.4           ,22.1       ,86.0       ,0.0    ,5.8   ,75.5     ,0.26069298245614037
304 ,KLGLW-1 ,9.9  ,16.9 ,21.4  ,990.3            ,3.2        ,78.0       ,0.5    ,8.9   ,93.13    ,0.545219298245614
305 ,KLGLW-1 ,13.7 ,12.2 ,10.1  ,1022.5           ,4.8        ,90.8       ,0.0    ,12.8  ,94.09    ,0.3728245614035088
306 ,KLGLW-1 ,15.6 ,15.6 ,14.5  ,1009.5           ,18.7       ,75.8       ,0.0    ,10.8  ,73.17    ,0.38566666666666666
307 ,KLGLW-1 ,14.7 ,17.7 ,15.4  ,1022.8           ,21.9       ,44.8       ,0.0    ,11.3  ,79.89    ,0.8058947368421052
