,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
152,MILWW-1,0.0,17.6,61.1,1007.3,19.5,17.9,0.0,-1.1,92.18,0.3715
153,MILWW-1,12.6,13.1,22.2,998.5,11.8,63.5,0.0,11.6,94.09,0.9155
154,MINSW-1,15.0,10.0,,1015.4,22.7,91.1,0.0,12.1,82.63,0.1793478260869565
155,MINSW-1,1.6,5.5,,1000.8,21.4,12.1,0.0,1.0,96.02,0.05815217391304349
156,MINSW-1,7.0,13.0,,1010.2,21.5,49.8,0.0,5.3,89.53,0.14918478260869567
157,MINSW-1,15.3,15.1,,1001.9,5.9,94.3,0.0,14.8,96.57,0.6148913043478261
158,MKHLW-1,2.4,4.8,0.0,1001.4,24.0,4.6,0.0,1.2,91.68,0.0667857142857143
159,MKHLW-1,7.1,11.1,0.0,1009.7,17.4,52.6,0.0,5.0,86.46,0.005607142857142857
160,SANQW-1,15.2,10.4,,1015.2,23.2,88.9,0.0,11.9,81.15,0.014012345679012347
161,SANQW-1,1.7,5.0,,1001.6,23.9,23.2,0.0,1.0,94.97,0.03376543209876544
162,SANQW-1,6.3,13.1,,1009.3,16.9,65.5,0.0,4.3,86.92,0.4360493827160494
163,SANQW-1,14.1,11.8,,1001.3,9.7,90.0,0.0,13.4,95.42,0.6414814814814814
164,STLGW-1,0.9,5.3,,1004.0,15.6,55.5,0.0,0.6,97.79,0.040438356164383564
165,STLGW-1,0.4,16.9,53.7,1007.2,19.5,15.7,0.0,-0.8,91.94,0.433013698630137
166,STLGW-1,12.1,16.0,60.1,998.3,17.5,52.3,0.0,11.0,93.05,0.4851780821917808
167,STLGW-2,0.9,5.3,,1004.0,15.6,55.5,0.0,0.6,97.79,0.027469879518072286
168,STLGW-2,0.4,16.9,53.7,1007.2,19.5,15.7,0.0,-0.8,91.94,0.22985542168674697
169,STLGW-2,12.1,16.0,60.1,998.3,17.5,52.3,0.0,11.0,93.05,0.7572048192771085
170,STLGW-3,0.9,5.3,,1004.0,15.6,55.5,0.0,0.6,97.79,0.011068493150684932
171,STLGW-3,0.4,16.9,53.7,1007.2,19.5,15.7,0.0,-0.8,91.94,0.3451780821917808
172,STLGW-3,12.1,16.0,60.1,998.3,17.5,52.3,0.0,11.0,93.05,0.5858082191780822
173,STRNW-1,15.5,6.4,14.1,1017.4,26.2,54.7,0.0,11.7,78.11,0.1345
174,STRNW-1,3.7,4.5,4.9,1004.0,12.9,90.0,0.0,1.8,87.79,0.04914705882352941
175,STRNW-1,3.2,11.1,11.0,1003.4,20.8,16.7,42.9,-0.3,77.95,0.44738235294117645
176,STRNW-1,14.9,4.8,13.1,995.3,31.1,86.7,0.0,13.0,88.45,0.10005882352941177
177,TDBNW-1,14.2,8.9,,1016.3,22.8,98.9,0.0,11.5,83.8,0.04463768115942029
178,TDBNW-1,3.4,4.7,,1001.0,25.3,45.9,0.0,2.7,94.91,0.1358695652173913
179,TDBNW-1,5.5,10.8,,1008.7,21.9,18.1,0.0,3.6,87.23,0.5233333333333333
180,TDBNW-1,14.4,9.8,,1000.6,20.3,90.0,0.0,13.4,94.06,0.17065217391304346
181,TULWW-1,3.6,9.8,4.0,1001.0,13.8,3.9,0.0,3.0,96.13,0.066
