,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,6.3,5.4,6.0,996.8,36.7,59.0,0.0,5.2,92.3,0.17966666666666667
1,ABRTW-1,1.3,12.0,22.2,1005.9,7.1,63.6,0.0,0.0,90.73,0.5736111111111111
2,ABRTW-1,11.9,16.4,,992.0,3.9,78.3,0.0,11.0,94.12,0.9477222222222222
3,ABRTW-1,16.3,4.9,,1017.3,37.3,0.0,0.0,5.8,49.53,0.786
4,ABRTW-1,1.3,7.5,2.0,1047.0,27.8,100.0,0.0,-3.4,70.87,0.15116666666666667
5,ABRTW-1,2.3,1.5,0.9,1019.9,3.4,38.3,0.0,1.6,94.89,0.14416666666666667
6,ABRTW-1,12.2,14.9,32.2,996.3,10.7,86.6,0.0,11.7,97.24,0.7711666666666667
7,ABRTW-1,13.4,7.8,,1015.9,10.4,99.3,0.0,12.7,95.71,0.00938888888888889
8,ABRTW-1,1.2,1.2,,993.1,14.4,74.5,0.0,0.9,97.86,0.14044444444444446
9,ABRTW-1,23.9,10.1,,1012.4,43.5,87.9,0.0,10.6,42.91,0.2521111111111111
10,ABRTW-1,6.8,10.7,8.1,996.9,16.3,63.0,0.0,5.0,88.4,0.5672777777777778
11,ABRTW-1,5.5,9.1,13.0,1043.4,17.4,100.0,0.0,3.5,86.68,0.3378333333333334
12,ABRTW-1,8.7,6.7,,1014.0,25.6,8.2,0.0,7.4,91.43,0.1602222222222222
13,ABRTW-1,12.7,16.5,,1009.8,6.9,84.2,0.0,12.2,96.68,0.30166666666666664
14,ACHRW-1,5.9,14.7,17.0,998.3,22.3,55.0,0.0,4.2,88.61,0.7975586854460094
15,ACHRW-1,1.3,17.8,12.6,1005.8,2.9,35.3,0.0,-1.2,83.25,0.5596713615023474
16,ACHRW-1,10.8,13.8,15.0,989.6,7.1,54.9,0.0,10.0,94.52,0.47657276995305164
17,ACHRW-1,11.1,10.4,2.0,1016.2,15.7,0.0,0.0,6.1,71.24,0.04112676056338028
18,ACHRW-1,0.2,5.7,4.8,1048.3,31.9,37.3,0.0,-5.1,67.56,0.07502347417840376
19,ACHRW-1,3.9,3.9,0.0,1019.3,12.3,28.3,0.0,2.7,91.43,0.3587793427230047
20,ACHRW-1,10.0,14.9,29.8,994.9,9.3,61.4,0.0,9.5,96.22,0.018028169014084508
21,ACHRW-1,11.2,2.8,0.0,1011.5,20.4,29.1,0.0,10.3,94.24,0.002723004694835681
22,ACHRW-1,13.8,5.3,8.1,1015.5,29.6,31.5,0.0,10.7,81.98,0.05070422535211268
23,ACHRW-1,-0.1,6.2,0.0,993.9,35.6,27.0,0.0,-1.6,89.93,0.12220657276995306
24,ACHRW-1,16.9,8.7,10.5,1013.1,29.6,62.4,0.0,10.6,66.46,0.1696244131455399
25,ACHRW-1,6.5,8.5,8.2,995.7,10.2,57.8,0.0,5.1,90.61,0.1495305164319249
26,ACHRW-1,10.9,4.9,14.1,1013.9,2.7,36.8,0.0,9.4,90.74,0.10948356807511736
27,ACHRW-1,5.5,12.9,6.9,1043.0,15.2,64.7,0.0,4.1,90.48,0.029577464788732393
28,ACHRW-1,6.7,11.2,6.9,1013.2,24.9,55.1,0.0,3.7,81.14,0.07544600938967136
29,ACHRW-1,11.1,8.1,12.1,1009.9,13.0,56.7,0.0,10.2,94.17,0.151924882629108
30,AKGLW-2,5.2,5.0,,996.2,39.1,89.4,0.0,4.6,96.12,0.093765664160401
31,AKGLW-2,1.9,18.4,35.1,1004.4,12.1,40.6,0.0,-0.1,86.1,0.9588972431077694
32,AKGLW-2,11.5,7.7,,993.8,22.1,58.0,0.0,9.4,86.97,0.8261278195488722
33,AKGLW-2,13.9,1.6,2.9,1017.3,24.2,0.0,0.0,5.4,56.58,0.7963345864661654
34,AKGLW-2,2.8,14.9,,1045.7,26.3,90.7,0.0,-4.0,61.22,0.9403822055137844
35,AKGLW-2,5.7,6.0,,1019.6,23.8,13.8,0.0,4.4,91.58,0.26835839598997496
36,AKGLW-2,9.3,4.9,32.2,997.9,5.5,93.9,0.0,8.9,97.39,0.5610275689223058
37,AKGLW-2,14.7,5.5,,1011.0,27.7,75.2,0.0,13.5,92.32,0.06331453634085213
38,AKGLW-2,11.6,5.1,,1016.2,6.1,98.7,0.0,11.5,99.48,0.04486215538847117
39,AKGLW-2,2.1,7.7,,991.1,23.3,64.7,0.0,0.7,90.4,0.3943609022556391
40,AKGLW-2,21.0,4.9,16.1,1012.2,25.3,87.0,0.0,13.5,62.3,0.005482456140350877
41,AKGLW-2,6.3,8.3,,997.4,10.4,64.9,0.0,5.4,94.5,0.4228696741854636
42,AKGLW-2,10.2,4.7,,1014.6,5.0,94.4,0.0,10.1,99.39,0.0022243107769423557
43,AKGLW-2,4.0,10.4,,1042.2,25.0,70.5,0.0,2.4,88.99,0.9729323308270676
44,AKGLW-2,6.4,7.1,,1013.1,29.6,2.7,0.0,3.5,81.67,0.49304511278195484
45,AKGLW-2,12.8,10.1,,1009.9,27.1,83.9,0.0,10.0,83.19,0.143890977443609
46,ANSUW-1,5.4,10.2,8.1,996.7,33.1,47.6,0.0,3.7,88.72,0.6115702479338843
47,ANSUW-1,1.1,16.4,12.1,1004.1,4.6,26.3,0.0,-2.5,76.6,0.671797520661157
48,ANSUW-1,9.4,10.9,0.0,991.4,3.3,44.3,0.0,9.0,97.33,0.3760330578512397
49,ANSUW-1,12.3,9.0,2.9,1016.6,24.9,0.0,0.0,5.1,61.38,0.21549586776859503
50,ANSUW-1,0.1,6.5,2.9,1048.8,35.2,63.2,0.0,-5.3,67.07,0.058367768595041315
51,ANSUW-1,5.3,3.9,0.0,1020.0,11.4,21.2,0.0,4.5,94.53,0.10237603305785124
52,ANSUW-1,7.5,11.7,21.4,995.5,3.3,47.6,0.0,7.0,96.4,0.17696280991735538
53,ANSUW-1,11.7,2.3,0.9,1011.7,23.8,33.7,0.0,10.9,94.89,0.005991735537190083
54,ANSUW-1,13.1,4.7,6.0,1016.2,31.0,32.7,0.0,9.8,80.52,0.08223140495867769
55,ANSUW-1,-0.9,5.9,4.9,993.8,34.1,41.1,0.0,-1.9,92.73,0.07386363636363637
56,ANSUW-1,14.3,9.1,4.9,1012.9,32.2,54.8,0.0,10.2,76.32,0.14586776859504133
57,ANSUW-1,4.0,7.9,0.0,996.1,7.6,42.2,0.0,3.3,95.4,0.20113636363636364
58,ANSUW-1,10.6,4.0,0.0,1014.8,7.5,34.4,0.0,9.3,92.07,0.09648760330578514
59,ANSUW-1,5.7,15.0,6.0,1042.3,20.9,42.7,0.0,4.3,90.45,0.4804752066115702
60,ANSUW-1,12.9,16.3,10.1,1010.5,32.1,42.2,0.0,8.0,72.18,0.8397727272727272
61,ANSUW-1,4.8,8.6,6.9,1013.0,25.9,36.1,0.0,3.2,89.05,0.17055785123966943
62,ANSUW-1,10.3,7.3,6.0,1009.5,10.8,39.4,0.0,9.5,94.99,0.11694214876033057
63,ARCHW-1,7.4,16.8,11.0,998.2,14.1,87.8,0.0,5.8,89.62,0.6301666666666667
64,ARCHW-1,3.9,20.9,24.4,1008.0,24.0,60.0,0.0,1.4,83.81,0.5549999999999999
65,ARCHW-1,12.9,19.5,14.0,990.9,6.5,81.8,9.9,10.7,86.68,0.6611666666666667
66,ARCHW-1,9.9,8.6,6.9,1017.0,21.3,0.0,0.0,7.9,87.15,0.24016666666666667
67,ARCHW-1,2.3,8.1,8.6,1046.9,28.0,92.7,0.0,-4.0,63.1,0.11583333333333333
68,ARCHW-1,13.7,22.3,32.7,997.3,14.6,79.3,0.0,12.7,93.56,0.0046500000000000005
69,ARCHW-1,1.4,6.7,3.1,993.0,28.6,4.0,0.0,-0.5,87.06,0.19899999999999998
70,ARCHW-1,19.2,6.3,8.9,1013.2,23.4,24.7,0.0,10.0,55.23,0.028833333333333332
71,ARCHW-1,8.4,14.6,12.5,997.4,10.1,49.9,0.0,6.0,84.79,0.27666666666666667
72,ARCHW-1,10.6,2.9,8.4,1012.7,2.1,26.8,0.0,10.0,95.79,0.011633333333333332
73,ARCHW-1,5.6,8.3,5.5,1044.7,15.4,98.8,0.0,3.7,87.54,0.093
74,ARCHW-1,14.6,23.5,26.2,1013.7,18.4,51.3,0.0,9.9,73.32,0.0012166666666666667
75,ARCHW-1,6.7,6.2,6.5,1014.8,18.6,6.6,0.0,4.0,83.09,0.17583333333333334
76,ARCHW-1,14.1,8.3,10.0,1010.1,6.0,17.9,0.0,13.5,96.13,0.11349999999999999
77,BEINW-1,3.6,18.0,43.8,996.0,25.7,49.0,0.0,2.5,92.98,0.3848529411764706
78,BEINW-1,-0.7,22.6,84.1,1001.2,11.3,18.8,0.0,-3.7,80.54,0.44564338235294115
79,BEINW-1,7.6,8.7,48.3,992.4,6.3,50.1,0.0,7.2,97.32,0.10871323529411764
80,BEINW-1,12.3,14.4,47.2,1015.5,31.1,0.0,0.0,3.8,56.21,0.270625
81,BEINW-1,-0.9,6.3,16.1,1050.0,28.5,70.5,0.0,-6.0,68.25,0.16779411764705884
82,BEINW-1,6.0,15.0,41.1,995.2,7.7,46.7,0.0,5.2,94.59,0.30974264705882354
