,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,-0.4,1.0,0.0,1008.4,11.1,82.0,0.0,-0.6,98.77,0.01888888888888889
1,ABRTW-1,10.2,10.9,4.0,1023.6,18.6,91.6,0.0,3.7,63.97,0.13894444444444443
2,ABRTW-1,9.5,6.8,4.0,1018.3,5.3,90.0,0.0,6.3,80.31,0.036000000000000004
3,ABRTW-1,9.8,3.6,0.0,1008.6,25.1,89.9,0.0,9.0,94.45,0.03966666666666666
4,ABRTW-1,11.2,2.9,0.0,1002.8,33.7,85.6,0.0,5.3,67.02,0.0032222222222222222
5,ABRTW-1,15.7,5.3,2.9,1018.1,29.1,74.0,0.0,8.1,60.7,0.030500000000000003
6,ABRTW-1,18.0,5.2,4.0,988.7,27.1,89.0,0.0,15.4,84.47,0.008944444444444444
7,ABRTW-1,13.3,4.3,0.9,1000.6,31.9,90.3,0.0,10.2,81.53,0.032388888888888884
8,ABRTW-1,4.5,4.6,,1031.8,23.6,68.8,0.0,2.3,85.41,0.1213888888888889
9,ABRTW-1,6.0,4.3,0.0,1000.4,37.2,97.2,0.0,2.7,79.43,0.08466666666666667
10,ABRTW-1,1.2,7.4,0.9,1004.8,14.8,52.4,0.0,0.2,93.05,0.18488888888888888
11,ABRTW-1,16.4,7.3,2.9,1028.4,32.5,79.3,0.0,11.0,70.43,0.18844444444444444
12,ABRTW-1,10.3,9.9,6.9,1020.7,26.5,4.7,0.0,2.1,56.6,0.2728888888888889
13,ABRTW-1,12.9,14.0,11.9,1005.8,30.8,47.5,0.0,11.4,90.51,0.05866666666666667
14,ACHRW-1,5.5,2.9,0.9,1019.9,2.8,2.1,0.0,3.6,87.43,0.06938967136150234
15,ACHRW-1,8.8,14.8,16.1,1023.1,11.9,59.8,0.0,5.0,77.03,0.23657276995305163
16,ACHRW-1,8.6,10.5,7.3,1018.0,4.6,69.0,0.0,6.4,86.08,0.4961032863849765
17,ACHRW-1,11.6,8.2,11.0,1003.2,26.1,69.0,0.0,5.4,65.66,0.0931924882629108
18,ACHRW-1,13.8,7.0,10.1,1018.6,36.5,38.8,0.0,6.7,62.1,0.0018779342723004694
19,ACHRW-1,16.0,5.2,10.1,989.3,19.4,51.8,0.0,14.1,88.6,0.015446009389671361
20,ACHRW-1,13.1,5.5,2.9,1001.5,21.7,64.7,0.0,9.8,80.12,0.04286384976525821
21,ACHRW-1,6.5,6.8,8.1,1031.7,28.3,22.2,0.0,2.9,78.08,0.09586854460093895
22,ACHRW-1,5.5,6.7,7.0,999.9,13.0,65.1,0.0,3.2,84.81,0.2359154929577465
23,ACHRW-1,0.9,5.5,2.2,1003.2,14.8,43.7,0.0,0.2,94.91,0.37103286384976525
24,ACHRW-1,14.4,13.0,16.1,1029.2,34.1,26.2,0.0,10.9,79.7,0.22276995305164318
25,ACHRW-1,11.7,12.8,14.6,1020.4,15.9,5.5,0.0,2.0,51.43,0.4058685446009389
26,ACHRW-1,11.6,20.1,21.0,1006.3,12.0,31.3,0.0,10.2,90.69,0.752018779342723
27,AKGLW-2,-0.6,3.5,,1008.1,15.4,98.9,0.0,-1.3,95.18,0.06907894736842105
28,AKGLW-2,7.6,7.0,,1019.2,4.7,5.6,0.0,5.1,84.45,0.3013784461152882
29,AKGLW-2,12.5,18.3,31.1,1022.5,27.1,28.6,0.0,5.1,60.66,0.362687969924812
30,AKGLW-2,8.6,10.6,,1020.2,8.1,85.8,0.0,5.3,79.61,0.49376566416040096
31,AKGLW-2,10.9,8.0,,1008.5,24.3,58.8,0.0,9.2,89.2,0.05260025062656642
32,AKGLW-2,9.0,6.6,,1002.6,17.1,83.9,0.0,6.3,83.44,0.13167293233082708
33,AKGLW-2,14.1,4.9,,1018.3,28.0,74.5,0.0,8.0,66.78,0.12183583959899748
34,AKGLW-2,12.0,6.5,10.1,999.5,8.6,89.4,0.0,9.8,86.61,0.7948621553884712
35,AKGLW-2,7.7,4.5,6.9,1031.3,29.7,23.7,0.0,5.1,83.77,0.19360902255639095
36,AKGLW-2,5.9,6.5,,1001.4,30.9,89.3,0.0,3.8,86.42,0.050783208020050125
37,AKGLW-2,-0.9,1.2,,1006.4,8.7,7.5,0.0,-1.3,96.64,0.14194862155388469
38,AKGLW-2,19.6,11.0,,1026.6,28.1,35.5,0.0,11.1,58.04,0.2170112781954887
39,AKGLW-2,8.5,13.3,,1021.9,25.4,48.7,0.0,2.2,64.35,0.16776315789473684
40,AKGLW-2,15.2,14.4,23.3,1003.8,27.1,50.1,0.0,-4.1,26.18,0.9028822055137844
41,ANSUW-1,-0.9,2.7,0.0,1008.7,10.4,14.9,0.0,-1.5,96.04,0.005785123966942149
42,ANSUW-1,6.0,2.7,2.0,1020.2,3.3,0.0,0.0,3.8,85.79,0.0046487603305785125
43,ANSUW-1,7.2,15.8,8.1,1022.7,11.4,44.3,0.0,4.6,83.74,0.07355371900826446
44,ANSUW-1,7.3,10.4,2.9,1019.3,6.6,56.9,0.0,5.3,87.23,0.2147727272727273
45,ANSUW-1,9.1,2.0,0.0,1008.5,21.8,54.8,0.0,8.6,97.13,0.00030991735537190085
46,ANSUW-1,11.3,8.7,12.1,1002.8,22.5,54.8,0.0,4.6,63.35,0.02995867768595041
47,ANSUW-1,11.8,6.2,8.9,1018.6,46.6,23.5,0.0,4.6,61.56,0.0028925619834710746
48,ANSUW-1,15.1,3.3,6.9,989.8,20.9,41.1,0.0,13.0,87.43,0.024586776859504132
49,ANSUW-1,11.4,6.3,8.9,1001.4,21.2,46.0,0.0,8.9,84.37,0.01394628099173554
50,ANSUW-1,5.4,4.3,8.1,1032.8,28.1,23.2,0.0,2.1,79.41,0.0628099173553719
51,ANSUW-1,5.1,7.4,8.1,1000.9,19.5,54.7,0.0,1.9,79.29,0.18181818181818182
52,ANSUW-1,0.6,4.8,0.0,1004.5,15.4,56.9,0.0,0.0,95.68,0.3039256198347108
53,ANSUW-1,13.0,12.6,6.9,1028.3,46.6,3.9,0.0,10.2,83.47,0.4384297520661157
54,ANSUW-1,10.7,11.9,14.1,1021.2,17.2,0.0,0.0,0.7,50.19,0.23698347107438017
55,ANSUW-1,11.0,19.5,6.9,1004.6,15.3,16.5,0.0,9.5,90.56,0.8185950413223141
56,ARCHW-1,9.8,11.9,14.1,1024.6,8.4,87.6,0.0,6.6,80.12,0.06651666666666667
57,ARCHW-1,9.9,6.3,9.9,1017.6,2.9,80.1,0.0,8.4,90.34,0.011616666666666666
58,ARCHW-1,10.4,6.8,7.1,1009.2,22.1,91.2,0.0,8.8,89.86,0.05753333333333333
59,ARCHW-1,16.9,9.9,10.1,1017.9,23.8,11.0,0.0,10.0,63.98,0.0433
60,ARCHW-1,15.0,10.2,6.0,1001.2,26.9,83.3,0.0,10.9,76.39,0.094
61,ARCHW-1,8.1,9.5,8.1,1030.5,30.5,2.9,0.0,4.4,77.38,0.15783333333333335
62,ARCHW-1,6.4,9.4,5.0,999.2,16.5,86.6,0.0,4.8,89.55,0.08516666666666667
63,ARCHW-1,5.2,13.6,6.1,1003.2,17.8,65.0,0.0,3.5,88.42,0.588
64,ARCHW-1,15.3,10.0,13.5,1029.6,24.1,44.8,0.0,11.4,77.59,0.15096666666666667
65,ARCHW-1,11.4,14.8,15.0,1019.6,20.3,28.9,0.0,2.7,54.9,0.08585
66,ARCHW-1,14.7,15.7,13.0,1008.0,24.8,78.0,0.0,12.6,87.53,0.44333333333333336
67,BEINW-1,5.8,20.9,40.3,1020.8,9.0,51.3,0.0,4.2,89.09,0.5593014705882353
68,BEINW-1,6.8,9.4,19.5,1020.5,9.0,67.7,0.0,3.8,81.42,0.17909926470588236
69,BEINW-1,8.4,9.9,9.6,1003.8,14.5,61.9,0.0,4.5,76.57,0.1517095588235294
70,BEINW-1,8.3,11.1,19.5,1019.4,27.9,30.7,0.0,2.7,67.62,0.17193014705882353
71,BEINW-1,8.7,8.7,31.1,1002.4,26.4,45.7,0.0,7.4,91.3,0.0078125
72,BEINW-1,4.1,5.9,4.9,1033.9,17.8,20.6,0.0,1.6,84.2,0.011378676470588236
73,BEINW-1,-0.1,8.6,11.9,1004.3,28.5,38.9,0.0,-1.5,89.76,0.09529411764705883
74,BEINW-1,10.9,13.2,17.5,1026.7,24.9,32.4,0.0,10.0,94.4,0.20119485294117648
75,BEINW-1,10.9,6.5,14.1,1021.1,15.2,0.0,0.0,-1.0,43.55,0.015680147058823528
76,BEINW-1,9.4,29.2,83.0,1001.6,12.3,42.2,0.0,7.3,86.78,0.6737683823529411
77,BETHW-1,8.7,12.0,,1003.8,15.4,74.2,0.0,6.9,88.77,0.3547563025210084
78,BETHW-1,13.5,15.0,,1019.2,22.9,80.3,0.0,5.3,57.5,0.2970756302521008
79,BETHW-1,12.6,6.7,,1002.2,15.8,87.4,0.0,10.8,89.02,0.13606722689075632
80,BETHW-1,0.2,6.5,,1003.3,30.8,8.2,0.0,-0.6,94.01,0.1275294117647059
81,BETHW-1,14.3,16.4,28.9,1026.4,26.3,92.1,0.0,10.3,76.79,0.7147563025210084
82,BETHW-1,12.9,17.6,33.1,999.3,21.4,60.4,0.0,9.5,79.82,0.24853781512605042
83,BHLAW-1,7.7,16.7,40.3,1020.3,11.9,68.4,0.0,5.1,83.68,0.8415925925925926
84,BHLAW-1,6.8,12.3,46.1,1020.5,9.7,69.1,0.0,3.3,78.29,0.007092592592592593
85,BHLAW-1,7.5,12.5,35.8,1003.8,15.4,61.8,0.0,4.1,78.96,0.18757407407407406
86,BHLAW-1,8.3,13.1,36.9,1019.3,26.7,43.6,0.0,2.6,67.07,0.1785
87,BHLAW-1,10.2,8.1,31.1,1002.3,23.6,62.5,0.0,8.5,89.05,0.001537037037037037
88,BHLAW-1,0.0,9.9,30.0,1004.1,28.0,27.7,0.0,-1.3,90.4,0.3373333333333334
89,BHLAW-1,10.4,17.1,46.1,1026.6,26.0,46.5,0.0,9.0,91.05,0.26861111111111113
90,BHLAW-1,10.2,7.7,,1021.2,16.2,0.0,0.0,-1.5,43.93,0.008314814814814815
91,BLKWW-1,1.6,1.6,,1008.3,6.4,57.2,0.0,1.1,96.46,0.06400756143667297
92,BLKWW-1,9.6,14.3,,1024.4,14.2,57.5,0.0,5.4,75.13,0.27247637051039697
93,BLKWW-1,10.1,6.9,,1017.9,4.9,59.2,0.0,7.5,83.93,0.13032136105860115
94,BLKWW-1,16.3,7.7,,988.2,14.7,93.7,0.0,15.4,94.83,0.08385633270321362
95,BLKWW-1,13.3,11.0,,1000.4,29.1,67.5,0.0,9.8,79.23,0.14396975425330813
96,BLKWW-1,7.0,9.8,,1030.8,29.3,17.8,0.0,4.0,81.31,0.39965973534971644
