BMU_ID,name,location
RRWW-1,Robin Rigg West
RSHLW-1,?
SANQW-1,Sanquhar Community Windfarm
SHRSO-1,Sheringham Shoal Unit 1
SHRSO-2,Sheringham Shoal Unit 2
STLGW-1,Stronelairg Windfarm 1
STLGW-2,Stronelairg Windfarm 2
STLGW-3,Stronelairg Windfarm 3
STPSW-1,?
STRNW-1,Strathy North Wind Farm 1
TANGW-1,?
TDBNW-1,Toddleburn Windfarm
THNTO-1,Thanet Offshore Windfarm 1
THNTO-2,Thanet Offshore Windfarm 2
TKNEW-1,Triton Knoll Offshore East 1
TKNWW-1,Triton Knoll Offshore West 1
TLYMW-1,Tullymurdoch Windfarm
TMNCW-1,?
TMWLW-1,?
TRLGW-1,Tralorg Windfarm
TULWW-1,Tullo Windfarm
TULWW-2,Tullo Windfarm Extension
TWSHW-1,Twentyshilling Hill Windfarm
WDNSO-1,West of Duddon Sands Offshore 1
WDNSO-2,West of Duddon Sands Offshore 2
WDRGW-1,Windy Rig Windfarm
WHIHW-1,Whiteside Hill Windfarm 1
WHILW-1,Whitelee Windfarm
WHILW-2,Whitelee Win Extension
WISTW-2,Brockloch Rig 2
WLNYO-2,Walney Offshore 2
WLNYO-3,Walney Offshore Extension 1 
WLNYO-4,Walney Offshore Extension 2
WLNYW-1,Walney Offshore 1
WTGRW-1,?
WTMSO-1,Westermost Rough Windfarm
