BMU_ID,name,latitude,longitude,capacity
ABRTW-1,Auchrobert Wind Farm,55.61055739940275,-4.015384591727852,36
ACHRW-1,AChruach Wind Farm,56.1269712,-5.3432396,42.6
AKGLW-2,AIKENGALL II,55.9150047,-2.49688,63.84
ANSUW-1,An Suidhe 1,56.224051,-5.2130074,19.36 
ARCHW-1,Arecleoch Wind Farm,55.0416812,-4.770743,120
BEINW-1,Beinneun Wind farm,57.17827288009466,-4.82109216958363,108.8
BETHW-1,Beinn Tharsuinn,57.800992275030936,-4.3346808661924365,29.75
BHLAW-1,Bhlaraidh Windfarm 1,57.23963580566568,-4.695464890442125,108
BLKWW-1,Blackcraig Windfarm,55.117069597392366,-4.036139277806499,52.9
BLLA-1,Black Law Wind Farm 1,55.78118771664953,-3.767924375149469,96
BLLA-2,Black Law Wind Farm Extension,55.78118771664953,-3.767924375149469,69
BNWKW-1,Burn of Whilk Windfarm,58.35457349959977,-3.216587241279806,22.5
BRYBW-1,Berry Burn Wind Farm,57.487293823518755,-3.546681465682468,66.7
BTUIW-2,Beinn An Tuirc 2,55.560335298141666,-5.588698121706408,43.7
CGTHW-1,Corriegarth Wind Farm,57.186586138936335,-4.368153431006851,69
CLDCW-1,Clyde Central Windfarm,55.44617453329307,-3.5992929982061717,112
CLDNW-1,Clyde North Windfarm,55.44617453329307,-3.5992929982061717,108
CLDRW-1,Clashindarroch Wind Farm,57.367291690384505,-2.9605749569700395,37
CLDSW-1,Clyde South Windfarm,55.44617453329307,-3.5992929982061717,128
CLFLW-1,Clachan Flats Windfarm,56.28543765488403,-4.951433213772245,14.5
COUWW-1,Cour Wind Farm,55.56810095148873,-5.625716918001336,20.5
CRGHW-1,Carraig Gheal Wind Farm,56.33439522069926,-5.280947685285188,46.000
CRMLW-1,Corriemoille Windfarm,57.66269844191335,-4.80103988897101,47.5
CRYRW-2,Crystal Rig II Windfarm,55.896053119592615,-2.5249960222373837,138
DALSW-1,Dalswinton Wind Farm,55.182271372631114,-3.6615459851750773,30
DRSLW-1,Dersalloch Windfarm,55.304104971900735,-4.498505894734625,69
DUNGW-1,Dunmglass Wind Farm,57.251659835154136,-4.35277928063249,94
EDINW-1,Edinbane Windfarm,57.4488820955549,-6.409606588450441,42
EWHLW-1,Ewe Hill II Windfarm,55.11338801401998,-3.228142446033912,37
FAARW-1,Farr Windfarm Unit 1,57.34237252133751,-4.159229662470168,46
FAARW-2,Farr Windfarm Unit 2,57.34237252133751,-4.159229662470168,46
FSDLW-1,Freasdail Wind Farm,55.78241699413659,-5.4852302653710945,22.2
GDSTW-1,Gordonstown Windfarm,57.44647967966559,-2.4773236550737443,13
GLOFW-1,Glens of Foudland,57.41128862906307,-2.6514341830962187,26.7
GRIFW-1,Griffin Wind Farm Unit 1,56.56505300004035,-3.753415902442821,102
GRIFW-2,Griffin Wind Farm Unit 2,56.56505300004035,-3.753415902442821,102
HBHDW-1,Harburnhead Wind Farm,55.81512068868508,-3.544017412656134,51.7
HLGLW-1,Hills of Glaschlyle Windfarm,57.5122084938839,-3.6169240619381724,28
HRSTW-1,Harestanes Windfarm,55.2611551824312,-3.562602893053257,128
KILBW-1,Kilbraur Windfarm,58.03858657824576,-4.059488960329183,47.5
KLGLW-1,Kilgallioch Wind Farm,55.04310765499441,-4.767850803868686,228
MILWW-1,Millenium Wind Farm,57.12409500961305,-4.846643311783962,40
MINSW-1,Minsca Wind Farm,55.10997618943698,-3.2264262443426266,36.8
MKHLW-1,Mark Hill Windfarm,55.13283216306773,-4.746617206829822,56
SANQW-1,Sanquhar Community Windfarm,55.346149432626284,-4.062504193857615,32.4
STLGW-1,Stronelairg Windfarm 1,57.09634733823234,-4.452696672133537,73
STLGW-2,Stronelairg Windfarm 2,57.09634733823234,-4.452696672133537,83
STLGW-3,Stronelairg Windfarm 3,57.09634733823234,-4.452696672133537,73
STRNW-1,Strathy North Wind Farm 1,58.49446599188089,-4.038820249369911,68
TDBNW-1,Toddleburn Windfarm,55.77322484849453,-2.8710213312089894,27.6
TULWW-1,Tullo Windfarm,56.837981488032874,-2.404984176001639,17
TULWW-2,Tullo Windfarm Extension,56.837981488032874,-2.404984176001639,25
WHIHW-1,Whiteside Hill Windfarm 1,55.34383763097161,-4.050229308768929,27
WHILW-1,Whitelee Windfarm,55.70065872868072,-4.3280772062789135,322
WHILW-2,Whitelee Win Extension,55.66680437298513,-4.283265843955053,238
WISTW-2,Brockloch Rig 2,55.246626313939416,-4.309298410537309,61.5
