,datetime,temp,dew,humidity,precip,windgust,windspeed,pressure,cloudcover,visibility
0,2019-09-01,11.7,8.1,79.25,2.87,46.4,25.6,1013.8,58.0,41.4
1,2019-09-02,12.0,11.0,93.81,9.37,63.0,37.3,1016.1,78.7,17.4
2,2019-09-03,14.4,13.8,96.19,7.78,46.4,24.9,1014.6,86.5,17.9
3,2019-09-04,11.8,9.3,84.95,16.32,72.4,37.4,1009.5,59.9,31.8
4,2019-09-05,11.6,7.7,77.38,0.77,57.6,31.2,1022.1,67.1,26.9
5,2019-09-06,12.5,9.7,83.63,3.3,60.6,37.2,1015.2,60.9,24.8
6,2019-09-07,10.8,6.6,77.26,0.0,0.0,12.1,1024.9,17.6,44.5
7,2019-09-08,10.0,7.7,86.43,0.4,0.0,14.5,1022.4,57.6,34.5
8,2019-09-09,12.4,11.1,92.04,19.34,0.0,18.9,1011.1,78.3,20.3
9,2019-09-10,11.6,9.2,85.46,4.11,61.2,40.4,1015.7,64.7,28.2
10,2019-09-11,13.8,11.2,84.36,11.75,61.2,34.9,1011.4,72.7,24.0
11,2019-09-12,12.8,10.7,87.62,7.59,0.0,21.3,1020.6,63.1,26.3
12,2019-09-13,11.6,8.0,79.62,0.2,0.0,24.4,1033.6,22.4,28.2
13,2019-09-14,12.8,9.4,80.55,0.0,59.4,36.4,1027.1,76.6,34.5
14,2019-09-15,11.7,8.1,78.96,1.57,51.2,26.3,1022.0,76.3,19.7
15,2019-09-16,10.0,7.0,82.48,0.0,0.0,22.6,1023.0,56.5,34.9
16,2019-09-17,11.0,5.7,70.88,0.4,0.0,19.1,1026.1,50.5,36.0
17,2019-09-18,11.5,8.5,82.16,0.0,40.7,19.1,1029.4,83.6,40.0
18,2019-09-19,12.8,10.5,86.51,0.0,0.0,16.5,1030.2,45.0,31.7
19,2019-09-20,13.7,10.2,81.0,0.4,0.0,16.4,1024.2,4.7,28.6
20,2019-09-21,16.0,8.9,64.6,0.0,29.5,26.3,1011.4,5.7,49.9
21,2019-09-22,14.5,12.8,89.95,10.65,0.0,14.5,1002.4,80.0,23.2
22,2019-09-23,14.1,11.5,84.73,1.42,0.0,25.5,1003.2,73.1,45.0
23,2019-09-24,15.3,14.0,92.41,14.56,0.0,24.9,996.9,78.5,22.6
24,2019-09-25,14.2,13.5,95.51,6.47,0.0,19.1,996.0,87.9,17.2
25,2019-09-26,13.2,11.6,89.86,10.53,51.8,27.4,993.0,77.9,29.0
26,2019-09-27,11.3,9.8,90.58,11.59,0.0,22.4,994.6,68.2,35.7
27,2019-09-28,11.5,9.7,89.11,9.45,0.0,19.6,1000.0,63.5,43.8
