,datetime,temp,dew,humidity,precip,windgust,windspeed,pressure,cloudcover,visibility
0,2019-09-01,11.2,7.8,80.72,3.24,46.4,27.8,1013.5,55.3,44.0
1,2019-09-02,11.4,10.4,94.03,7.81,63.4,38.9,1016.1,81.8,19.7
2,2019-09-03,14.2,13.6,96.25,10.16,46.4,24.9,1014.6,86.5,18.7
3,2019-09-04,11.2,9.1,87.1,17.41,58.1,32.5,1009.2,58.4,35.7
4,2019-09-05,10.8,7.2,78.77,0.2,56.4,36.8,1021.7,71.2,30.0
5,2019-09-06,12.0,9.3,83.62,2.08,55.1,34.4,1014.8,60.5,27.2
6,2019-09-07,10.2,5.9,77.06,0.0,0.0,13.2,1024.9,27.5,51.5
7,2019-09-08,9.3,6.8,85.43,0.2,0.0,16.9,1022.7,50.4,41.3
8,2019-09-09,11.9,10.6,92.35,12.25,0.0,23.2,1011.3,85.1,21.5
9,2019-09-10,11.2,9.0,87.31,4.07,61.2,43.7,1015.7,71.6,26.7
10,2019-09-11,13.3,10.8,84.84,9.98,58.1,38.3,1011.2,72.7,23.7
11,2019-09-12,12.3,10.4,88.05,6.3,0.0,22.3,1020.4,67.5,27.7
12,2019-09-13,10.8,7.4,80.69,0.2,48.2,25.5,1033.5,20.8,27.6
13,2019-09-14,12.0,8.9,82.14,0.0,57.2,38.5,1027.1,76.9,31.5
14,2019-09-15,11.0,7.8,80.63,1.65,52.8,31.4,1021.8,71.5,18.6
15,2019-09-16,9.2,6.4,83.34,0.0,48.2,23.5,1022.9,58.1,31.4
16,2019-09-17,10.4,5.2,71.76,0.0,0.0,19.6,1025.9,46.9,32.6
17,2019-09-18,11.0,8.0,82.07,0.0,40.7,20.5,1029.4,88.0,37.3
18,2019-09-19,12.8,10.2,85.47,0.0,0.0,19.5,1030.2,51.7,31.7
19,2019-09-20,13.3,9.9,81.47,0.2,0.0,15.0,1024.6,1.4,25.2
20,2019-09-21,15.1,8.5,66.3,0.0,37.1,31.6,1012.1,0.7,47.3
21,2019-09-22,13.7,12.4,92.04,10.02,0.0,14.3,1003.0,78.5,21.3
